顶点1,Unnamed: 1,Unnamed: 2,顶点2,Unnamed: 4,Unnamed: 5
X,Y,Z,X,Y,Z
-5000,-123.595139885209,-413.21077078022,-2588.09423943591,263.800242732266,-256.916004757901
-5000,260.638630130799,-45.5355334223004,-2697.57508248102,420.228820486022,141.734026660795
-5000,273.505296679324,-144.677940130256,-3939.15969626586,318.937665072886,-118.26517904821
-4192.3186063671,261.813019412782,-199.977019550071,806.624526775099,321.530792400596,-283.651025070759
-2777.97743793496,-159.004834417892,-249.729794262883,2215.33209763938,97.7058633389306,-280.705584803122
-2262.03951829238,-250.253829283375,441.667836947413,-843.854487636523,-277.554922291578,500
-843.854487636523,-277.554922291578,-500,2732.81245393412,-346.408361525829,-352.886108151902
577.038075568308,-500,-306.636481677966,5000,-472.318119184751,-258.403555236408
1066.9641376733,105.066056981001,-242.602515764394,5000,273.505296679324,-144.677940130256
2330.73253512306,75.6211298477722,-262.64252357348,5000,260.638630130799,-45.5355334223004
2656.52072494725,-500,434.928592307143,3660.68808804375,-338.712686789317,500
3660.68808804375,-338.712686789317,-500,5000,-123.595139885209,-413.21077078022
