顶点1,Unnamed: 1,Unnamed: 2,顶点2,Unnamed: 4,Unnamed: 5
X,Y,Z,X,Y,Z
-5000,-4872.85737033347,2556.81333101074,-337.119122805609,-4694.65516508342,3967.32057366848
-5000,-4866.08250706701,-1349.01698940725,-2499.66714527227,-4677.41226432862,-3842.98260498987
-5000,-4706.61459072279,-4108.45905076322,-3426.45917816233,-5000,-4884.93993835393
-5000,-4560.01742740096,964.359666454309,-3605.47101992416,-4152.45454528847,692.569672330724
-5000,-4547.39384234608,-410.884225856586,-2483.39752786214,-4066.21125355775,-4015.92273037563
-5000,-4519.66210305138,3025.31565018178,-1558.37167667412,-4567.34509022482,2994.96538491327
-5000,-4435.68841088378,396.827175517224,-2524.18638177167,-4309.12018384298,92.9776044016462
-5000,-4427.31798471068,-2547.29172280084,-2520.22920639355,-4593.9107173629,-2789.43457736672
-5000,-4266.16628897089,-3773.88172280203,-3485.9825070119,-1935.54048003478,-2931.73384790774
-5000,-4209.37005304343,1282.30863091672,-759.049103205538,-3308.26191366606,1520.79841217019
-5000,-4113.79464480424,-1483.19311457291,-4778.60000563849,-5000,-1494.68012704236
-5000,-4073.06844973178,4316.19087821228,-3052.51274483836,-4340.69143386373,3699.06174568995
-5000,-3998.61005755231,1241.72274558076,-646.677960123347,-4404.32707824943,2419.94434435375
-5000,-3934.96314704756,923.476102249517,-1497.00732366556,-3996.37334061972,1135.33399657542
-5000,-3809.67060242485,-2329.36103653559,-4270.0171209558,-3898.40520002173,-2002.07012722856
-5000,-3505.79987614971,2439.60639803962,-2576.92489156017,-3456.76012690378,1835.03092185925
-5000,-3160.9915908559,3668.52224946907,-4102.34949606856,-2841.41616101726,3433.53825557183
-5000,-2897.59141411251,288.901642274303,-4040.0246999422,-3964.39042857365,-34.9576720364012
-5000,-2779.71438908079,-3244.96239808851,-4573.14946376295,-2163.19389376176,-3710.10735315639
-5000,-2778.66251188592,2206.82508489744,-3419.62099703407,-3553.43041143183,2744.81331658726
-5000,-2691.57323766101,-1126.55329185837,-1842.85902237545,-2262.68910855129,-937.535580783762
-5000,-2602.2578268195,2880.14555663,-2957.09873840603,-4028.25170916487,4080.1097010496
-5000,-2564.86128944441,-1330.47391306341,-3403.74489856223,-4013.07197165803,-4024.44102447742
-5000,-2456.20339955356,-2657.38387812609,-3477.9024015447,-539.990915338504,269.997026244971
-5000,-2432.17457103533,-3042.63852110194,-3051.86907793065,-3726.31167480155,-220.009212959164
-5000,-2429.63780368038,1192.46496680503,-1136.48576879498,-3251.23992689051,-909.346550295275
-5000,-2285.37593637789,-1294.23920020719,-3064.99376678937,-3445.2491194506,-817.752309061515
-5000,-1980.646304769,3104.21465993047,-1296.39293705433,-544.587260835758,3821.61080121073
-5000,-1885.81724045037,4304.47317215295,-1952.21256355269,148.897971568059,3715.77168678109
-5000,-1832.60798588856,-4442.89166913915,-4193.73371013477,-2022.79385410491,-4369.53273436392
-5000,-1823.22140012199,290.683235674212,-3995.73616419977,-2209.34600138377,3386.92990346057
-5000,-1770.83504212766,2589.6427585874,-1386.52055894232,-3296.09996253492,2900.10227380758
-5000,-1730.49364760457,-1584.90290947253,-1780.69058860293,-1643.08063301096,-2771.82605077521
-5000,-1690.28799022273,1083.3790173988,-1037.62963183377,-1563.14982673259,981.243942181346
-5000,-1568.74135130602,-712.470563064057,-2354.47254035077,51.3673451435429,-675.743671616226
-5000,-1525.23346506892,2224.38202222794,-2413.6764685915,-2347.43049850611,-939.89490181865
-5000,-1332.26025692466,4449.60978106156,-4085.87573408055,-1200.84449151643,5000
-5000,-1194.62051862425,2791.97432075776,-4599.65698133606,-1583.8638820847,2730.79813773728
-5000,-1126.71993264818,4747.84309165573,-4262.20940972175,-903.476370917789,5000
